연도_분기,지역,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2012-1분기,강릉,6.3,-1.7,2.0,2.7,2.1,0.0,48.7,8.0
2012-1분기,강진군,7.3,-1.8,2.5,3.0,2.3,0.1,64.2,9.1
2012-1분기,강화,3.9,-6.2,-1.1,2.1,0.4,0.0,54.7,10.1
2012-1분기,거제,8.4,0.4,4.2,1.9,2.4,0.0,54.3,8.1
2012-1분기,거창,6.6,-5.1,0.6,2.0,1.2,0.1,59.8,11.7
2012-1분기,경주시,7.3,-3.1,1.9,3.1,1.5,0.0,54.7,10.3
2012-1분기,고산,4.5,-2.8,0.2,5.4,2.5,0.4,75.0,7.4
2012-1분기,고산(제주),9.3,4.5,6.8,8.2,2.1,0.0,64.8,4.8
2012-1분기,고창,6.0,-3.0,1.3,2.9,1.3,0.7,74.7,9.0
2012-1분기,고창군,6.4,-2.7,1.7,1.9,1.4,0.6,65.8,9.1
2012-1분기,고흥,8.5,-1.7,3.3,2.5,2.4,0.0,58.6,10.2
2012-1분기,광양시,8.9,0.3,4.2,2.5,1.9,0.0,53.1,8.5
2012-1분기,광주,7.3,-1.5,2.5,2.1,1.5,0.3,63.9,8.8
2012-1분기,구미,6.9,-3.2,1.6,2.1,1.0,0.0,54.8,10.1
2012-1분기,군산,5.3,-3.0,1.0,2.5,0.8,0.4,66.1,8.3
2012-1분기,금산,6.0,-6.0,-0.3,1.2,1.2,0.0,60.9,12.0
2012-1분기,김해시,9.3,0.5,4.5,2.4,1.6,0.0,47.5,8.8
2012-1분기,남원,6.7,-5.1,0.6,1.8,1.5,0.0,63.7,11.8
2012-1분기,남해,8.1,-0.5,3.7,1.5,2.5,0.0,53.4,8.6
2012-1분기,대관령,-0.3,-10.5,-5.2,3.8,1.3,1.3,65.2,10.2
2012-1분기,대구,8.0,-0.8,3.2,2.3,1.1,0.0,46.9,8.7
2012-1분기,대전,6.0,-3.5,1.1,1.8,0.8,0.2,56.7,9.5
2012-1분기,동두천,5.3,-6.6,-1.2,1.9,0.4,0.0,54.7,11.9
2012-1분기,동해,6.1,-1.5,2.2,2.9,1.8,0.0,50.9,7.6
2012-1분기,목포,5.9,-1.1,2.1,3.6,2.0,0.3,68.3,7.0
2012-1분기,문경,5.9,-4.9,0.4,2.3,1.1,0.0,49.7,10.8
2012-1분기,밀양,8.8,-3.2,2.7,1.7,1.2,0.0,51.6,11.9
2012-1분기,백령도,1.8,-3.1,-0.9,4.4,0.3,0.2,61.6,4.9
2012-1분기,보령,5.2,-3.3,0.8,1.9,0.9,0.4,63.1,8.5
2012-1분기,보성군,8.1,-1.4,3.2,3.7,2.0,0.0,63.7,9.5
2012-1분기,보은,5.1,-6.5,-0.8,1.7,1.1,0.0,56.8,11.5
2012-1분기,봉화,3.8,-8.7,-3.1,1.4,0.8,0.0,59.7,12.5
2012-1분기,부산,9.0,1.1,4.7,3.4,2.4,0.0,47.3,7.9
2012-1분기,부안,5.7,-3.1,1.1,1.9,1.0,0.0,70.3,8.8
2012-1분기,부여,6.0,-4.7,0.5,1.5,0.9,0.0,60.3,10.7
2012-1분기,북강릉,5.4,-3.1,1.2,2.4,2.1,0.5,49.5,8.6
2012-1분기,북창원,8.0,-0.7,3.4,1.9,1.4,0.0,37.2,8.7
2012-1분기,산청,7.8,-2.3,2.5,2.4,1.4,0.0,51.6,10.1
2012-1분기,상주,5.8,-3.9,0.8,2.3,1.0,0.0,51.9,9.7
2012-1분기,서귀포,11.4,5.1,8.1,2.5,3.3,0.0,64.0,6.2
2012-1분기,서산,4.7,-4.9,-0.2,3.1,0.6,0.2,63.8,9.6
2012-1분기,서울,4.6,-3.6,0.1,3.0,0.6,0.1,48.1,8.2
2012-1분기,성산,9.7,3.2,6.4,2.8,3.3,0.2,64.9,6.5
2012-1분기,속초,5.6,-2.1,1.7,2.3,1.5,0.3,50.9,7.8
2012-1분기,수원,5.2,-4.4,0.2,1.8,0.6,0.1,60.9,9.6
2012-1분기,순창군,6.7,-3.8,1.2,2.0,1.4,0.3,60.2,10.4
2012-1분기,순천,7.1,-3.1,1.7,2.5,1.9,0.1,62.0,10.3
2012-1분기,안동,6.7,-4.7,0.9,2.0,0.8,0.1,55.5,11.4
2012-1분기,양산시,8.9,0.1,4.3,2.7,1.5,0.0,47.4,8.9
2012-1분기,양평,5.7,-5.7,-0.3,1.6,0.6,0.0,57.7,11.4
2012-1분기,여수,7.5,0.8,3.9,5.0,1.9,0.0,50.3,6.7
2012-1분기,영광군,5.6,-3.1,1.1,2.6,1.5,0.6,71.2,8.7
2012-1분기,영덕,7.5,-1.4,2.8,3.5,1.5,0.0,51.4,8.9
2012-1분기,영월,5.5,-6.6,-0.7,1.4,0.9,0.0,59.4,12.2
2012-1분기,영주,5.4,-4.8,0.3,3.6,1.0,0.0,53.0,10.2
2012-1분기,영천,7.5,-3.5,1.8,2.3,1.0,0.0,53.4,11.0
2012-1분기,완도,7.5,-0.4,3.3,3.2,2.9,0.1,60.2,8.0
2012-1분기,울릉도,4.1,-0.7,1.5,3.5,4.3,3.4,64.8,4.8
2012-1분기,울산,8.2,-0.5,3.6,2.5,2.1,0.0,55.9,8.7
2012-1분기,울진,6.9,-1.9,2.4,3.1,1.4,0.1,54.9,8.8
2012-1분기,원주,5.2,-5.7,-0.5,1.6,0.7,0.1,53.1,10.9
2012-1분기,의령군,9.0,-3.6,2.4,1.7,1.3,0.0,63.5,12.6
2012-1분기,의성,7.4,-7.3,-0.2,1.5,0.7,0.0,58.9,14.7
