관측시각 (KST),국내 지점번호,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
20220101,속초,2.1,-9.2,-3.3,1.3,-9,-9,40.8,11.3
20220101,북춘천,-1.2,-15.9,-9.2,0.5,-9,-9,59,14.7
20220101,철원,0.5,-16.5,-8,0.5,-9,-9,67.8,17
20220101,동두천,1.4,-13.9,-6.4,0.7,-9,-9,52.6,15.3
20220101,파주,0.6,-16,-7.4,0.6,-9,-9,62.5,16.6
20220101,대관령,-0.3,-18.5,-9.5,1.7,-9,-9,46.6,18.2
20220101,춘천,0,-14.9,-8.2,0.7,-9,-9,58.1,14.9
20220101,백령도,6.7,-4.2,2.1,4.4,0.7,-9,74.3,10.9
20220101,북강릉,3.5,-6.3,-1.7,1.6,-9,-9,32.9,9.8
20220101,강릉,6.4,-5.7,-0.4,2.5,-9,-9,34,12.1
20220101,동해,5.1,-6.1,-0.1,1.6,-9,-9,40.6,11.2
20220101,서울,2.3,-10.2,-4.3,1.5,-9,-9,46.3,12.5
20220101,인천,1.1,-8.3,-3.4,1.9,-9,-9,43.4,9.4
20220101,원주,0.4,-12.6,-6.3,0.5,-9,-9,48.1,13
20220101,울릉도,4.1,-0.6,1.3,1.9,0.1,0,72.9,4.7
20220101,수원,1.8,-11.7,-4.4,0.9,-9,-9,48,13.5
20220101,영월,1.9,-14.3,-7,0.5,-9,-9,50.8,16.2
20220101,충주,-0.2,-13.9,-8,0.5,-9,-9,59.4,13.7
20220101,서산,2.4,-11.4,-4.9,1,-9,-9,64.8,13.8
20220101,울진,5.7,-6.6,-0.5,2.9,-9,-9,29.8,12.3
20220101,청주,0.6,-9.9,-4.5,0.7,-9,-9,46.6,10.5
20220101,대전,2.3,-10,-4.4,1.2,-9,-9,54.5,12.3
20220101,추풍령,1.3,-8.5,-4.2,3.7,-9,-9,38.4,9.8
20220101,안동,1.1,-14.2,-6.1,0.7,-9,-9,41.5,15.3
20220101,상주,2.4,-8.2,-3.3,1.6,-9,-9,41.6,10.6
20220101,포항,5.6,-6.1,-0.6,3.1,-9,-9,24.8,11.7
20220101,군산,2.1,-8.3,-2.9,1.1,-9,-9,52.3,10.4
20220101,대구,5.6,-8.8,-2.3,1.6,-9,-9,36,14.4
20220101,전주,2.7,-8.9,-2.7,0.8,-9,-9,52.5,11.6
20220101,울산,5.9,-6.3,-0.6,2.1,-9,-9,19.6,12.2
20220101,창원,5.4,-5.7,-0.5,1.9,-9,-9,28,11.1
20220101,광주,5.4,-5.2,-0.1,1.4,-9,-9,39.4,10.6
20220101,부산,7.4,-3.9,1.9,2.2,-9,-9,24.4,11.3
20220101,통영,7.3,-3.4,1.1,1.7,-9,-9,34.1,10.7
20220101,목포,3.3,-4,-0.7,2.6,-9,-9,50.8,7.3
20220101,여수,6.1,-3.4,1,2.1,-9,-9,41.3,9.5
20220101,흑산도,3.5,0.7,2.1,4.4,-9,-9,64.3,2.8
20220101,완도,7.5,-3,1.6,1,-9,-9,44.3,10.5
20220101,고창,1.8,-6.8,-2.5,3.1,-9,-9,56.4,8.6
20220101,순천,7.2,-5.5,-1.6,2.8,-9,-9,42.3,12.7
20220101,홍성,0.4,-11.9,-5.5,0.5,-9,-9,69.8,12.3
