Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases
2020-01-05,JP,Japan,WPRO,0,0
2020-01-12,JP,Japan,WPRO,0,0
2020-01-19,JP,Japan,WPRO,1,1
2020-01-26,JP,Japan,WPRO,2,3
2020-02-02,JP,Japan,WPRO,12,15
2020-02-09,JP,Japan,WPRO,10,25
2020-02-16,JP,Japan,WPRO,27,52
2020-02-23,JP,Japan,WPRO,80,132
2020-03-01,JP,Japan,WPRO,107,239
2020-03-08,JP,Japan,WPRO,216,455
2020-03-15,JP,Japan,WPRO,325,780
2020-03-22,JP,Japan,WPRO,266,1046
2020-03-29,JP,Japan,WPRO,647,1693
2020-04-05,JP,Japan,WPRO,1578,3271
2020-04-12,JP,Japan,WPRO,3477,6748
2020-04-19,JP,Japan,WPRO,3613,10361
2020-04-26,JP,Japan,WPRO,2821,13182
2020-05-03,JP,Japan,WPRO,1657,14839
2020-05-10,JP,Japan,WPRO,908,15747
2020-05-17,JP,Japan,WPRO,538,16285
2020-05-24,JP,Japan,WPRO,265,16550
2020-05-31,JP,Japan,WPRO,301,16851
2020-06-07,JP,Japan,WPRO,290,17141
2020-06-14,JP,Japan,WPRO,288,17429
2020-06-21,JP,Japan,WPRO,435,17864
2020-06-28,JP,Japan,WPRO,526,18390
2020-07-05,JP,Japan,WPRO,1132,19522
2020-07-12,JP,Japan,WPRO,1980,21502
2020-07-19,JP,Japan,WPRO,3140,24642
2020-07-26,JP,Japan,WPRO,4740,29382
2020-08-02,JP,Japan,WPRO,7307,36689
2020-08-09,JP,Japan,WPRO,10094,46783
2020-08-16,JP,Japan,WPRO,7931,54714
2020-08-23,JP,Japan,WPRO,7033,61747
2020-08-30,JP,Japan,WPRO,5517,67264
2020-09-06,JP,Japan,WPRO,4155,71419
2020-09-13,JP,Japan,WPRO,3799,75218
2020-09-20,JP,Japan,WPRO,3439,78657
2020-09-27,JP,Japan,WPRO,3033,81690
2020-10-04,JP,Japan,WPRO,3649,85339
2020-10-11,JP,Japan,WPRO,3573,88912
2020-10-18,JP,Japan,WPRO,3744,92656
2020-10-25,JP,Japan,WPRO,3878,96534
2020-11-01,JP,Japan,WPRO,4612,101146
2020-11-08,JP,Japan,WPRO,5940,107086
2020-11-15,JP,Japan,WPRO,9591,116677
2020-11-22,JP,Japan,WPRO,13502,130179
2020-11-29,JP,Japan,WPRO,14474,144653
2020-12-06,JP,Japan,WPRO,15445,160098
2020-12-13,JP,Japan,WPRO,17189,177287
2020-12-20,JP,Japan,WPRO,18593,195880
2020-12-27,JP,Japan,WPRO,21432,217312
2021-01-03,JP,Japan,WPRO,26535,243847
2021-01-10,JP,Japan,WPRO,42905,286752
2021-01-17,JP,Japan,WPRO,41542,328294
2021-01-24,JP,Japan,WPRO,36519,364813
2021-01-31,JP,Japan,WPRO,24705,389518
2021-02-07,JP,Japan,WPRO,15472,404990
2021-02-14,JP,Japan,WPRO,10792,415782
2021-02-21,JP,Japan,WPRO,9815,425597
2021-02-28,JP,Japan,WPRO,7176,432773
2021-03-07,JP,Japan,WPRO,7219,439992
2021-03-14,JP,Japan,WPRO,7914,447906
2021-03-21,JP,Japan,WPRO,8875,456781
2021-03-28,JP,Japan,WPRO,11833,468614
2021-04-04,JP,Japan,WPRO,16711,485325
2021-04-11,JP,Japan,WPRO,20961,506286
2021-04-18,JP,Japan,WPRO,27766,534052
