관측시간,지역,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
201201,서울,,60,0.009,0.011,0.037,0.8
201202,서울,,50,0.007,0.015,0.035,0.7
201203,서울,,46,0.005,0.025,0.031,0.5
201204,서울,,51,0.005,0.026,0.034,0.5
201205,서울,,52,0.006,0.034,0.034,0.5
201206,서울,,40,0.005,0.036,0.025,0.4
201207,서울,,28,0.004,0.021,0.022,0.4
201208,서울,,22,0.003,0.024,0.019,0.4
201209,서울,,27,0.004,0.021,0.026,0.4
201210,서울,,33,0.004,0.017,0.031,0.5
201211,서울,,42,0.005,0.012,0.033,0.6
201212,서울,,41,0.006,0.011,0.037,0.7
201301,서울,,64,0.008,0.012,0.045,0.9
201302,서울,,45,0.006,0.018,0.038,0.6
201303,서울,,55,0.006,0.023,0.037,0.5
201304,서울,,52,0.006,0.031,0.034,0.5
201305,서울,,55,0.006,0.034,0.035,0.5
201306,서울,,40,0.005,0.033,0.03,0.4
201307,서울,,34,0.004,0.024,0.022,0.4
201308,서울,,35,0.004,0.027,0.024,0.4
201309,서울,,28,0.004,0.023,0.026,0.4
201310,서울,,29,0.004,0.017,0.03,0.4
201311,서울,,42,0.005,0.012,0.036,0.6
201312,서울,,55,0.007,0.009,0.043,0.8
201401,서울,,57,0.007,0.009,0.042,0.7
201402,서울,,57,0.006,0.016,0.039,0.6
201403,서울,,60,0.007,0.025,0.037,0.5
201404,서울,,58,0.006,0.028,0.04,0.5
201405,서울,,63,0.006,0.041,0.032,0.5
201406,서울,,38,0.005,0.037,0.026,0.4
201407,서울,,38,0.005,0.033,0.023,0.4
201408,서울,,29,0.004,0.025,0.024,0.4
201409,서울,,29,0.004,0.023,0.03,0.4
201410,서울,,33,0.005,0.017,0.035,0.4
201411,서울,,45,0.006,0.012,0.039,0.6
201412,서울,,44,0.006,0.012,0.034,0.7
201501,서울,25,49,0.007,0.011,0.037,0.7
201502,서울,30,84,0.007,0.016,0.036,0.7
201503,서울,30,71,0.007,0.022,0.04,0.6
201504,서울,21,45,0.005,0.028,0.033,0.5
201505,서울,22,45,0.006,0.033,0.032,0.4
201506,서울,20,35,0.005,0.038,0.025,0.4
201507,서울,19,30,0.005,0.027,0.021,0.4
201508,서울,22,34,0.005,0.029,0.023,0.4
201509,서울,16,28,0.004,0.025,0.027,0.4
201510,서울,24,44,0.005,0.019,0.035,0.5
201511,서울,21,33,0.005,0.012,0.034,0.6
201512,서울,28,48,0.006,0.009,0.039,0.7
201601,서울,27,50,0.006,0.014,0.035,0.6
201602,서울,23,45,0.006,0.018,0.034,0.6
201603,서울,32,64,0.006,0.025,0.038,0.6
201604,서울,30,71,0.005,0.031,0.036,0.5
201605,서울,29,56,0.005,0.039,0.031,0.5
201606,서울,28,46,0.005,0.037,0.028,0.4
201607,서울,21,33,0.004,0.025,0.024,0.4
201608,서울,22,34,0.004,0.03,0.023,0.4
201609,서울,23,37,0.004,0.027,0.026,0.5
201610,서울,20,38,0.004,0.018,0.029,0.5
201611,서울,28,52,0.005,0.014,0.035,0.6
201612,서울,30,48,0.005,0.009,0.036,0.7
201701,서울,32,53,0.005,0.035,0.035,0.7
201702,서울,28,46,0.005,0.018,0.035,0.6
201703,서울,39,60,0.005,0.038,0.038,0.6
201704,서울,26,56,0.005,0.035,0.031,0.5
201705,서울,24,63,0.005,0.039,0.028,0.4
201706,서울,22,41,0.004,0.041,0.024,0.4
201707,서울,22,33,0.004,0.03,0.023,0.4
201708,서울,13,21,0.004,0.024,0.021,0.4
201709,서울,19,32,0.004,0.027,0.027,0.5
201710,서울,15,29,0.004,0.02,0.027,0.5
201711,서울,22,42,0.005,0.014,0.033,0.6
201712,서울,32,50,0.005,0.011,0.034,0.7
201801,서울,32,52,0.006,0.014,0.035,0.6
201802,서울,30,53,0.005,0.018,0.034,0.6
201803,서울,34,52,0.005,0.026,0.033,0.6
201804,서울,26,52,0.004,0.031,0.031,0.5
201805,서울,23,42,0.004,0.034,0.025,0.4
201806,서울,24,37,0.004,0.035,0.024,0.4
201807,서울,16,24,0.004,0.024,0.019,0.4
201808,서울,10,22,0.004,0.03,0.017,0.4
201809,서울,14,20,0.003,0.027,0.019,0.4
201810,서울,15,28,0.004,0.018,0.028,0.5
201811,서울,28,52,0.005,0.011,0.039,0.7
201812,서울,24,43,0.005,0.012,0.035,0.6
201901,서울,38,66,0.005,0.012,0.039,0.8
201902,서울,35,57,0.005,0.018,0.036,0.7
201903,서울,45,69,0.005,0.028,0.034,0.6
201904,서울,21,41,0.004,0.029,0.029,0.5
201905,서울,29,52,0.005,0.043,0.028,0.5
201906,서울,20,29,0.004,0.039,0.02,0.4
