지역,Year,Quarter,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
강릉,2012,1,,49.7,0.0087,0.0217,0.0163,0.6
강릉,2012,2,,47.3,0.0037,0.0337,0.014,0.3667
강릉,2012,3,,24.0,0.0023,0.0237,0.011,0.3667
강릉,2012,4,,37.0,0.006,0.0233,0.0137,0.5667
강릉,2013,1,,52.3,0.0077,0.029,0.0167,0.6667
강릉,2013,2,,39.7,0.004,0.0337,0.012,0.3667
강릉,2013,3,,31.0,0.0023,0.0267,0.0097,0.4
강릉,2013,4,,36.7,0.006,0.0217,0.013,0.9
강릉,2014,1,,55.7,0.0053,0.0197,0.0147,0.6667
강릉,2014,2,,51.0,0.0033,0.0377,0.0127,0.3333
강릉,2014,3,,33.7,0.002,0.0307,0.0117,0.4
강릉,2014,4,,39.0,0.005,0.0245,0.0143,0.7
강릉,2015,1,23.0,64.7,0.0067,0.0263,0.0143,0.6667
강릉,2015,2,20.7,50.7,0.0033,0.0407,0.0117,0.3667
강릉,2015,3,17.0,35.0,0.002,0.0287,0.0097,0.3333
강릉,2015,4,18.3,44.0,0.004,0.0247,0.0143,0.5
강릉,2016,1,30.3,51.7,0.0047,0.0297,0.016,0.6333
강릉,2016,2,30.7,57.0,0.0023,0.043,0.0147,0.3667
강릉,2016,3,21.7,34.7,0.002,0.0253,0.009,0.3333
강릉,2016,4,26.3,45.7,0.004,0.0227,0.0153,0.6
강릉,2017,1,32.0,54.0,0.0043,0.019,0.013,0.5
강릉,2017,2,26.7,51.3,0.0023,0.0473,0.0113,0.3
강릉,2017,3,19.0,34.3,0.002,0.0297,0.012,0.3333
강릉,2017,4,19.0,35.0,0.0033,0.0267,0.0117,0.5667
강릉,2018,1,24.0,35.7,0.005,0.0317,0.0153,0.4667
강릉,2018,2,21.0,44.3,0.002,0.046,0.0137,0.3
강릉,2018,3,15.7,29.0,0.0023,0.0283,0.011,0.2667
강릉,2018,4,17.5,38.0,0.0035,0.026,0.0175,0.3
강릉,2019,1,26.7,44.7,0.004,0.0363,0.0157,0.3333
강릉,2019,2,17.7,38.3,0.002,0.0487,0.0117,0.3
강릉,2019,3,12.0,27.3,0.001,0.0333,0.0087,0.3
강릉,2019,4,17.0,30.0,0.002,0.028,0.015,0.4
강릉,2020,1,16.3,31.0,0.0023,0.0333,0.013,0.45
강릉,2020,2,15.0,37.3,0.0027,0.0453,0.0105,0.4
강릉,2020,3,10.0,22.0,0.0023,0.03,0.01,0.5
강릉,2020,4,14.0,31.0,0.0027,0.0343,0.0123,0.4333
강릉,2021,1,16.5,42.0,0.003,0.036,0.0147,0.4
강릉,2021,2,12.3,41.0,0.002,0.0447,0.01,0.3667
강릉,2021,3,6.7,18.7,0.0023,0.0303,0.0097,0.2333
강릉,2021,4,11.0,26.3,0.003,0.0333,0.011,0.3
강릉,2022,1,15.5,28.0,0.0033,0.0387,0.013,0.3667
강릉,2022,2,12.7,30.0,0.002,0.05,0.0087,0.2
강릉,2022,3,9.3,17.0,0.002,0.028,0.008,0.2333
강릉,2022,4,16.7,29.0,0.0023,0.0287,0.011,0.4
강릉,2023,1,17.0,39.0,0.0028,0.0381,0.0113,0.47
강릉,2023,2,14.3,42.0,0.0017,0.0453,0.0079,0.3233
강릉,2023,3,9.3,18.0,0.0017,0.0319,0.0064,0.26
강릉,2023,4,12.3,22.0,0.0022,0.0364,0.0081,0.41
강릉,2024,1,15.3,30.0,0.0024,0.0362,0.0106,0.4267
강릉,2024,2,14.7,39.3,0.0015,0.0484,0.0076,0.25
광주,2012,1,,43.3,0.0047,0.0237,0.023,0.6
광주,2012,2,,45.3,0.0033,0.039,0.0167,0.4333
광주,2012,3,,26.0,0.003,0.026,0.0123,0.4
광주,2012,4,,37.7,0.0043,0.0203,0.0227,0.5667
광주,2013,1,,50.3,0.0053,0.0257,0.0247,0.6667
광주,2013,2,,48.3,0.0043,0.0417,0.018,0.5
광주,2013,3,,32.7,0.004,0.03,0.013,0.4
광주,2013,4,,37.7,0.0047,0.019,0.024,0.6
