지역,Year,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
강릉,2012,,39.5,0.0052,0.0256,0.0138,0.475
강릉,2013,,39.9,0.005,0.0277,0.0128,0.5833
강릉,2014,,45.4,0.0039,0.0285,0.0133,0.525
강릉,2015,19.8,48.6,0.004,0.0301,0.0125,0.4667
강릉,2016,27.2,47.2,0.0032,0.0302,0.0137,0.4833
강릉,2017,24.6,43.7,0.003,0.0307,0.012,0.425
강릉,2018,19.3,36.6,0.0032,0.0336,0.0141,0.3364
강릉,2019,18.6,36.1,0.0023,0.0383,0.0123,0.32
강릉,2020,13.8,31.1,0.0025,0.0357,0.0115,0.4455
강릉,2021,11.2,32.0,0.0026,0.0361,0.0113,0.325
강릉,2022,13.4,25.8,0.0024,0.0363,0.0102,0.3
강릉,2023,13.2,30.2,0.0021,0.0379,0.0085,0.3618
강릉,2024,15.0,34.7,0.002,0.0423,0.0091,0.3383
광주,2012,,38.1,0.0038,0.0272,0.0187,0.5
광주,2013,,42.2,0.0046,0.0291,0.0199,0.5417
광주,2014,,40.9,0.0039,0.0284,0.0209,0.5583
광주,2015,26.9,45.6,0.0031,0.0283,0.0195,0.4909
광주,2016,23.4,40.1,0.0028,0.0297,0.0184,0.475
광주,2017,24.2,40.4,0.0025,0.0297,0.0188,0.45
광주,2018,24.0,40.9,0.0026,0.0275,0.0175,0.5083
광주,2019,23.5,42.0,0.0027,0.03,0.018,0.4583
광주,2020,18.0,29.8,0.0028,0.0292,0.014,0.4083
광주,2021,18.1,33.4,0.0029,0.0333,0.0138,0.4917
광주,2022,16.8,27.8,0.0029,0.0334,0.0138,0.3917
광주,2023,16.8,33.2,0.0026,0.0333,0.0138,0.4192
광주,2024,15.7,31.0,0.0027,0.0379,0.0142,0.4267
대구,2012,,42.5,0.0045,0.0257,0.0209,0.4583
대구,2013,,45.2,0.0042,0.0252,0.023,0.475
대구,2014,,45.2,0.0039,0.0261,0.0243,0.4167
대구,2015,25.7,45.6,0.0034,0.0261,0.0212,0.4167
