연도,질병명,현황,질병분류
2012,수두,27763,호흡기질환
2012,결핵,39545,호흡기질환
2012,유행성이하선염,7492,호흡기질환
2012,말라리아,17,매개체질환
2012,쯔쯔가무시증,542,매개체질환
2013,수두,37361,호흡기질환
2013,결핵,36089,호흡기질환
2013,유행성이하선염,17024,호흡기질환
2013,말라리아,22,매개체질환
2013,쯔쯔가무시증,445,매개체질환
2014,수두,44450,호흡기질환
2014,결핵,34869,호흡기질환
2014,유행성이하선염,25286,호흡기질환
2014,말라리아,23,매개체질환
2014,쯔쯔가무시증,638,매개체질환
2015,수두,46330,호흡기질환
2015,결핵,32181,호흡기질환
2015,유행성이하선염,23448,호흡기질환
2015,말라리아,22,매개체질환
2015,쯔쯔가무시증,699,매개체질환
2016,수두,54060,호흡기질환
2016,결핵,30892,호흡기질환
2016,유행성이하선염,17057,호흡기질환
2016,말라리아,24,매개체질환
2016,쯔쯔가무시증,673,매개체질환
2017,수두,80092,호흡기질환
2017,결핵,28161,호흡기질환
2017,유행성이하선염,16924,호흡기질환
2017,말라리아,34,매개체질환
2017,쯔쯔가무시증,515,매개체질환
2018,수두,96467,호흡기질환
2018,결핵,26433,호흡기질환
2018,유행성이하선염,19237,호흡기질환
2018,말라리아,31,매개체질환
2018,쯔쯔가무시증,576,매개체질환
2019,수두,82868,호흡기질환
2019,결핵,23821,호흡기질환
2019,유행성이하선염,15967,호흡기질환
2019,말라리아,31,매개체질환
2019,쯔쯔가무시증,559,매개체질환
2020,수두,31430,호흡기질환
2020,결핵,19933,호흡기질환
2020,유행성이하선염,9922,호흡기질환
2020,말라리아,30,매개체질환
2020,쯔쯔가무시증,385,매개체질환
2021,수두,20929,호흡기질환
2021,결핵,18335,호흡기질환
2021,유행성이하선염,9708,호흡기질환
2021,말라리아,21,매개체질환
2021,쯔쯔가무시증,294,매개체질환
2022,수두,18547,호흡기질환
2022,결핵,16264,호흡기질환
2022,유행성이하선염,6358,호흡기질환
2022,말라리아,23,매개체질환
2022,쯔쯔가무시증,420,매개체질환
2023,수두,26964,호흡기질환
2023,결핵,15640,호흡기질환
2023,유행성이하선염,7737,호흡기질환
2023,말라리아,24,매개체질환
2023,쯔쯔가무시증,747,매개체질환
2024,수두,31592,호흡기질환
2024,결핵,-,호흡기질환
2024,유행성이하선염,6379,호흡기질환
2024,말라리아,29,매개체질환
2024,쯔쯔가무시증,724,매개체질환
