연도,분기구분,질병명,현황,질병분류
2018,4,홍 역,0,호흡기질환
2018,4,유행성 이하선염,0,호흡기질환
2018,4,수 두,19,호흡기질환
2018,4,결 핵,17,호흡기질환
2018,4,말라리아,3,매개체질환
2018,4,수막구균성 수막염,0,호흡기질환
2018,4,쯔쯔가무시증,1,매개체질환
2018,4,렙토스피라증,3,매개체질환
2018,4,신증후군 출혈열,0,매개체질환
2019,1,A형 간염,3,기타
2019,1,세균성 이질,0,기타
2019,1,파상풍,0,기타
2019,1,홍 역,0,호흡기질환
2019,1,유행성 이하선염,0,호흡기질환
2019,1,수 두,29,호흡기질환
2019,1,결 핵,18,호흡기질환
2019,1,말라리아,0,매개체질환
2019,1,수막구균성 수막염,1,호흡기질환
2019,1,쯔쯔가무시증,0,매개체질환
2019,1,렙토스피라증,4,매개체질환
2019,1,신증후군 출혈열,3,매개체질환
2019,2,A형 간염,6,기타
2019,2,세균성 이질,0,기타
2019,2,파상풍,0,기타
2019,2,홍 역,2,호흡기질환
2019,2,유행성 이하선염,18,호흡기질환
2019,2,수 두,44,호흡기질환
2019,2,결 핵,16,호흡기질환
2019,2,말라리아,27,매개체질환
2019,2,수막구균성 수막염,0,호흡기질환
2019,2,쯔쯔가무시증,0,매개체질환
2019,2,렙토스피라증,0,매개체질환
2019,2,신증후군 출혈열,4,매개체질환
2019,3,A형 간염,10,기타
2019,3,홍 역,0,호흡기질환
2019,3,유행성 이하선염,15,호흡기질환
2019,3,수 두,26,호흡기질환
2019,3,결 핵,22,호흡기질환
2019,3,말라리아,30,매개체질환
2019,3,수막구균성 수막염,0,호흡기질환
2019,3,쯔쯔가무시증,3,매개체질환
2019,3,신증후군 출혈열,2,매개체질환
2019,4,A형 간염,2,기타
2019,4,홍 역,0,호흡기질환
2019,4,유행성 이하선염,5,호흡기질환
2019,4,수 두,44,호흡기질환
2019,4,결 핵,27,호흡기질환
2019,4,말라리아,0,매개체질환
2019,4,수막구균성 수막염,0,호흡기질환
2019,4,쯔쯔가무시증,7,매개체질환
2019,4,신증후군 출혈열,14,매개체질환
2020,1,A형 간염,6,기타
2020,1,세균성 이질,0,기타
2020,1,파상풍,0,기타
2020,1,홍 역,0,호흡기질환
2020,1,유행성 이하선염,1,호흡기질환
2020,1,수 두,28,호흡기질환
2020,1,결 핵,10,호흡기질환
2020,1,말라리아,0,매개체질환
2020,1,수막구균성 수막염,0,호흡기질환
2020,1,쯔쯔가무시증,0,매개체질환
2020,1,렙토스피라증,1,매개체질환
2020,1,신증후군 출혈열,1,매개체질환
2020,2,A형 간염,1,기타
2020,2,세균성 이질,0,기타
2020,2,파상풍,0,기타
2020,2,홍 역,1,호흡기질환
2020,2,유행성 이하선염,0,호흡기질환
