Date,Cases,SO2,CO,O3,NO2,PM10,PM25,평균기온(℃),평균최고기온(℃),최고기온(℃),평균최저기온(℃),최저기온(℃),평균일강수량(mm),최다일강수량(mm),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),평균습도(%rh),최저습도(%rh),일조합(hr),일사합(MJ/m2),Traffic
2020-02-01,0,0.003274475,0.699089237,0.02603779,0.022697508,63.18521817,47.41671927,2.2,7.8,12.8,-2.6,-6.8,0,0.2,1.5,12.5,17.8,73,31,6.2,9.67,0
2020-02-02,0,0.003502381,0.748826209,0.028493308,0.020737205,69.09233372,52.89743359,2.1,7.8,12.8,-2.5,-11.2,0,0.7,1.3,9.5,14.6,67,20,7.7,10.86,0
2020-02-03,0,0.003139735,0.463362298,0.029590315,0.015893623,32.56031618,21.60081707,1.3,5.7,13.7,-2.8,-9.7,0,0.7,2.3,13.1,16.1,56,15,8.5,13.18,0
2020-02-04,3,0.003329312,0.465113596,0.023674091,0.019637627,29.41007851,18.8420182,0.1,6.3,12.2,-6.2,-18.6,0.3,2,1.8,13.4,19.7,57,10,8.9,14.04,0
2020-02-05,3,0.003002147,0.374519744,0.029291159,0.011449732,22.96047969,11.59488077,-3.6,1,8.9,-7.4,-18.9,0,26,3,14.7,19.6,43,9,9.6,15.46,0
2020-02-06,3,0.003371321,0.4604843,0.019124188,0.021237544,30.54894727,16.22635504,-4.2,2,9.6,-10.2,-24,0,3.2,1.5,10,13.6,50,5,8.4,13.29,0
2020-02-07,4,0.003521399,0.538148148,0.018324551,0.024736417,37.93051954,24.88322026,-0.4,5.3,11.8,-6.6,-12.4,0,0.2,1.7,11.1,16.7,54,5,7.4,11.96,0
2020-02-08,2,0.00314961,0.496928179,0.032126381,0.013552819,39.3156868,27.66246398,1.3,5.8,11.3,-2.5,-9.7,0.1,15.2,2.5,16.5,20.7,55,22,8.7,13.83,0
2020-02-09,3,0.003392805,0.494377125,0.029217809,0.01634168,33.5252034,22.60893403,0.1,6.1,10.4,-6,-16.8,0,2.5,1.8,14.6,17.8,57,15,9.5,15.28,0
2020-02-10,2,0.003648455,0.601581831,0.024114271,0.027283339,52.84346655,36.01485871,3.7,10.8,15.9,-2,-8.4,0,0.2,1.5,13.9,18.1,60,18,9,14.07,0
2020-02-11,2,0.004107542,0.670934256,0.019390669,0.03392735,59.1871055,38.56204179,5.4,13.5,16.6,-3.2,-12.7,0.1,3.7,1.1,9.4,12.1,58,15,8.1,13.37,0
2020-02-12,3,0.003588959,0.680578659,0.015302381,0.031820552,42.90749102,31.85800433,7.6,10,17.4,5,-0.9,13.3,60.1,1.3,12.4,15.7,89,26,0.1,2.13,0
2020-02-13,4,0.003004219,0.597269204,0.022307429,0.022166503,41.61988839,30.52891093,8,12.5,18.1,3.5,-2.2,0.1,1.5,1.6,10,13.5,84,29,5.1,9.31,0
2020-02-14,2,0.003418899,0.681426319,0.018229335,0.029108317,60.78893517,44.52012498,7.8,15.8,20.2,3,-3.6,0,0,1.1,7,9.6,77,9,7.8,13.62,0
2020-02-15,3,0.003457533,0.640453046,0.026375054,0.023997569,54.95081086,40.07831875,9.4,15.9,21.6,3.2,-1.2,1.4,8,1.6,15.4,19.1,78,25,4.5,9.59,0
