date,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C),매개성,호흡기_new,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
2015-04-01,23.3,12.1,17.3,2.1,3.4,0,66.1,11.2,101,117,21,41.7,0.0053,0.033,0.03,0.4333
2015-07-01,28.2,19.2,23,1.9,4.1,0,77.8,9,70,75,19,30.7,0.0047,0.027,0.0237,0.4
2015-10-01,14.7,5.3,9.5,1.9,2.6,0,72.6,9.4,60,91,24.3,41.7,0.0053,0.0133,0.036,0.6
2016-01-01,8.1,-2,2.8,2.3,1.6,0.1,60.1,10.1,12,89,27.3,53,0.006,0.019,0.0357,0.6
2016-04-01,23.9,12.8,17.9,2.1,3.8,0,68.4,11.1,83,96,29,57.7,0.005,0.0357,0.0317,0.4667
2016-07-01,29.2,20.8,24.3,1.7,6.2,0,79.9,8.4,83,64,22,34.7,0.004,0.0273,0.0243,0.4333
2016-10-01,14.2,4.6,8.9,1.9,2.8,0,71.1,9.6,42,57,26,46,0.0047,0.0137,0.0333,0.6
2017-01-01,8.5,-2.5,2.7,2.3,0.8,0.1,59,11,23,66,33,53,0.005,0.0303,0.036,0.6333
2017-04-01,24.3,12.1,17.9,2.1,1.8,0,63.2,12.2,51,44,24,53.3,0.0047,0.0383,0.0277,0.4333
2017-07-01,28.8,20.3,23.7,1.7,6.7,0,79.7,8.5,44,44,18,28.7,0.004,0.027,0.0237,0.4333
2017-10-01,12.9,2.5,7.1,2,1.2,0,65.2,10.4,14,39,23,40.3,0.0047,0.015,0.0313,0.6
2018-01-01,7.7,-3,2,2.3,1.9,0.1,60,10.7,7,28,32,52.3,0.0053,0.0193,0.034,0.6
2018-04-01,23.3,12.4,17.4,2.1,4.6,0,69.5,10.9,47,37,24.3,43.7,0.004,0.0333,0.0267,0.4333
2018-07-01,29.6,20.7,24.4,1.8,6.7,0,77.1,8.8,19,12,13.3,22,0.0037,0.027,0.0183,0.4
2018-10-01,13.3,2.7,7.5,1.8,2.7,0,67.2,10.7,7,17,22.3,41,0.0047,0.0137,0.034,0.6
2019-01-01,9.3,-1.8,3.4,2.2,0.9,0,57.6,11.1,7,18,39.3,64,0.005,0.0193,0.0363,0.7
2019-04-01,23.2,11.4,16.9,1.9,3.3,0,65.1,11.8,31,36,23.3,40.7,0.0043,0.037,0.0257,0.4667
2019-07-01,28.5,20.4,23.7,1.7,6.7,0,80.3,8.1,35,37,15.7,24,0.0037,0.0283,0.019,0.4
2019-10-01,14.8,4.3,8.9,1.8,2.7,0,69.8,10.5,21,32,21,37.7,0.0037,0.015,0.0313,0.6
2020-01-01,10.3,0,4.7,2.1,1.9,0,65.3,10.3,2,11,27.3,42.7,0.0033,0.0197,0.031,0.6
2020-04-01,22.7,11.8,16.9,2.1,3.8,0,68.1,10.8,18,8,20.3,38.3,0.003,0.038,0.02,0.4
2020-07-01,27.3,19.9,23,1.8,11.3,0,83.8,7.3,23,8,12.7,21,0.0027,0.026,0.0153,0.3667
2020-10-01,13.6,3,7.8,1.8,0.7,0,65,10.7,6,17,22.7,39,0.0033,0.017,0.029,0.5667
2021-01-01,9.8,-1.3,4,2.2,1.8,0.1,63.3,11.1,0,7,27.3,51,0.0033,0.0207,0.031,0.5667
2021-04-01,22.6,12.1,17,2,3.4,0,69.1,10.5,20,5,19.3,45.3,0.003,0.038,0.0197,0.4
2021-07-01,28.7,20.7,24.1,1.6,7.4,0,81.4,8,22,4,11.7,20.3,0.003,0.0343,0.015,0.3667
2021-10-01,14.7,4,8.8,1.8,1.3,0,69.9,10.7,10,3,20.7,37,0.003,0.018,0.028,0.5333
