Year,Quarter,분기별 평균 강수량 (mm)
2012,1,1.4
2012,2,2.84
2012,3,10.41
2012,4,1.96
2013,1,1.59
2013,2,3.43
2013,3,6.19
2013,4,1.54
2014,1,1.44
2014,2,2.58
2014,3,7.41
2014,4,2.21
2015,1,1.16
2015,2,3.38
2015,3,4.09
2015,4,2.62
2016,1,1.58
2016,2,3.79
2016,3,6.25
2016,4,2.81
2017,1,0.84
2017,2,1.76
2017,3,6.7
2017,4,1.2
2018,1,1.91
2018,2,4.6
2018,3,6.66
2018,4,2.68
2019,1,0.95
2019,2,3.28
2019,3,6.7
2019,4,2.7
2020,1,1.94
2020,2,3.78
2020,3,11.32
2020,4,0.7
2021,1,1.78
2021,2,3.44
2021,3,7.42
2021,4,1.32
2022,1,1.12
2022,2,2.71
2022,3,6.79
2022,4,1.7
2023,1,1.05
2023,2,5.2
2023,3,10.54
2023,4,1.99
2024,1,2.35
2024,2,3.85
2024,3,7.45
2024,4,2.18
