연도_분기,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2012-1분기,6.4,-3.3,1.4,2.5,1.4,0.1,58.2,9.7
2012-2분기,23.2,12.4,17.4,2.3,2.8,0.0,64.9,10.9
2012-3분기,28.3,20.3,23.8,2.0,10.4,0.0,79.3,8.0
2012-4분기,12.0,1.8,6.5,2.2,2.0,0.2,66.1,10.2
2013-1분기,7.6,-3.4,1.9,2.4,1.6,0.1,60.3,11.0
2013-2분기,22.5,11.5,16.7,2.2,3.4,0.0,67.6,10.9
2013-3분기,29.4,21.1,24.5,2.0,6.2,0.0,78.2,8.3
2013-4분기,13.5,3.4,8.0,2.2,1.5,0.1,67.8,10.2
2014-1분기,9.2,-1.5,3.6,2.2,1.4,0.2,61.3,10.7
2014-2분기,23.6,12.4,17.6,2.2,2.6,0.0,65.0,11.2
2014-3분기,27.7,19.5,23.0,1.8,7.4,0.0,79.4,8.2
2014-4분기,13.4,3.0,7.8,2.1,2.2,0.1,67.8,10.4
2015-1분기,8.8,-1.8,3.1,2.4,1.2,0.0,59.4,10.6
2015-2분기,23.3,12.1,17.3,2.1,3.4,0.0,66.1,11.2
2015-3분기,28.2,19.2,23.0,1.9,4.1,0.0,77.8,9.0
2015-4분기,14.7,5.3,9.5,1.9,2.6,0.0,72.6,9.4
2016-1분기,8.1,-2.0,2.8,2.3,1.6,0.1,60.1,10.1
2016-2분기,23.9,12.8,17.9,2.1,3.8,0.0,68.4,11.1
2016-3분기,29.2,20.8,24.3,1.7,6.2,0.0,79.9,8.4
2016-4분기,14.2,4.6,8.9,1.9,2.8,0.0,71.1,9.6
2017-1분기,8.5,-2.5,2.7,2.3,0.8,0.1,59.0,11.0
2017-2분기,24.3,12.1,17.9,2.1,1.8,0.0,63.2,12.2
2017-3분기,28.8,20.3,23.7,1.7,6.7,0.0,79.7,8.5
2017-4분기,12.9,2.5,7.1,2.0,1.2,0.0,65.2,10.4
2018-1분기,7.7,-3.0,2.0,2.3,1.9,0.1,60.0,10.7
2018-2분기,23.3,12.4,17.4,2.1,4.6,0.0,69.5,10.9
2018-3분기,29.6,20.7,24.4,1.8,6.7,0.0,77.1,8.8
2018-4분기,13.3,2.7,7.5,1.8,2.7,0.0,67.2,10.7
2019-1분기,9.3,-1.8,3.4,2.2,0.9,0.0,57.6,11.1
2019-2분기,23.2,11.4,16.9,1.9,3.3,0.0,65.1,11.8
2019-3분기,28.5,20.4,23.7,1.7,6.7,0.0,80.3,8.1
2019-4분기,14.8,4.3,8.9,1.8,2.7,0.0,69.8,10.5
2020-1분기,10.3,-0.0,4.7,2.1,1.9,0.0,65.3,10.3
2020-2분기,22.7,11.8,16.9,2.1,3.8,0.0,68.1,10.8
2020-3분기,27.3,19.9,23.0,1.8,11.3,0.0,83.8,7.3
2020-4분기,13.6,3.0,7.8,1.8,0.7,0.0,65.0,10.7
2021-1분기,9.8,-1.3,4.0,2.2,1.8,0.1,63.3,11.1
2021-2분기,22.6,12.1,17.0,2.0,3.4,0.0,69.1,10.5
2021-3분기,28.7,20.7,24.1,1.6,7.4,0.0,81.4,8.0
2021-4분기,14.7,4.0,8.8,1.8,1.3,0.0,69.9,10.7
2022-1분기,8.5,-2.6,2.7,2.1,1.1,0.0,58.1,11.0
2022-2분기,24.0,12.5,18.0,2.0,2.7,0.0,64.9,11.5
2022-3분기,28.7,20.6,24.0,1.7,6.8,0.0,80.5,8.0
2022-4분기,13.7,2.7,7.6,1.8,1.7,0.0,67.4,11.0
2023-1분기,10.3,-1.5,4.0,1.9,1.1,0.0,59.8,11.8
2023-2분기,23.3,12.5,17.6,1.9,5.2,0.0,69.5,10.8
2023-3분기,29.3,21.5,24.8,1.5,10.5,0.0,82.8,7.7
2023-4분기,14.3,3.9,8.6,1.9,2.0,0.0,69.4,10.4
2024-1분기,9.2,-0.3,4.2,2.1,2.3,0.0,68.3,9.5
2024-2분기,24.4,13.0,18.3,1.8,3.8,0.0,69.0,11.5
2024-3분기,30.9,22.8,26.1,1.7,7.5,0.0,80.7,8.0
2024-4분기,14.8,5.1,9.4,1.8,2.2,0.0,70.2,9.7
