Year,Quarter,지역,지역별 분기별 평균 강수량 (mm)
2012,1,강릉,2.07
2012,1,강진군,2.27
2012,1,강화,0.36
2012,1,거제,2.37
2012,1,거창,1.18
2012,1,경주시,1.51
2012,1,고산,2.53
2012,1,고산(제주),2.12
2012,1,고창,1.31
2012,1,고창군,1.4
2012,1,고흥,2.38
2012,1,광양시,1.88
2012,1,광주,1.47
2012,1,구미,1.04
2012,1,군산,0.85
2012,1,금산,1.19
2012,1,김해시,1.6
2012,1,남원,1.46
2012,1,남해,2.53
2012,1,대관령,1.3
2012,1,대구,1.07
2012,1,대전,0.81
2012,1,동두천,0.42
2012,1,동해,1.82
2012,1,목포,1.97
2012,1,문경,1.14
2012,1,밀양,1.2
2012,1,백령도,0.33
2012,1,보령,0.86
2012,1,보성군,2.04
2012,1,보은,1.06
2012,1,봉화,0.84
2012,1,부산,2.37
2012,1,부안,1.01
2012,1,부여,0.87
2012,1,북강릉,2.11
2012,1,북창원,1.4
2012,1,산청,1.44
2012,1,상주,1.05
2012,1,서귀포,3.29
2012,1,서산,0.65
2012,1,서울,0.6
2012,1,성산,3.28
2012,1,속초,1.45
2012,1,수원,0.59
2012,1,순창군,1.42
2012,1,순천,1.9
2012,1,안동,0.79
2012,1,양산시,1.45
2012,1,양평,0.56
2012,1,여수,1.91
2012,1,영광군,1.45
2012,1,영덕,1.48
2012,1,영월,0.86
2012,1,영주,0.98
2012,1,영천,1.04
2012,1,완도,2.85
2012,1,울릉도,4.28
2012,1,울산,2.08
2012,1,울진,1.37
2012,1,원주,0.7
2012,1,의령군,1.31
2012,1,의성,0.69
2012,1,이천,0.75
2012,1,인제,0.36
2012,1,인천,0.34
2012,1,임실,1.09
2012,1,장수,1.51
2012,1,장흥,2.39
2012,1,전주,1.13
2012,1,정선군,0.22
2012,1,정읍,1.33
2012,1,제주,3.45
2012,1,제천,1.15
2012,1,진주,1.73
2012,1,창원,1.29
2012,1,천안,0.68
2012,1,철원,0.47
2012,1,청송군,0.63
2012,1,청주,0.95
2012,1,추풍령,1.27
2012,1,춘천,0.52
2012,1,충주,0.85
2012,1,태백,1.07
2012,1,통영,1.87
2012,1,파주,0.44
2012,1,포항,2.1
2012,1,함양군,1.38
2012,1,합천,1.25
2012,1,해남,2.33
2012,1,해남군,2.02
2012,1,홍천,0.46
2012,1,흑산도,1.78
2012,2,강릉,2.26
2012,2,강진군,3.08
2012,2,강화,2.33
2012,2,거제,4.55
2012,2,거창,2.48
2012,2,경주시,2.58
2012,2,고산,4.11
2012,2,고산(제주),3.82
2012,2,고창,1.83
2012,2,고창군,1.99
2012,2,고흥,3.93
2012,2,광양시,3.09
2012,2,광주,2.29
2012,2,구미,2.45
2012,2,군산,2.18
2012,2,금산,2.34
2012,2,김해시,3.51
2012,2,남원,2.14
2012,2,남해,4.61
2012,2,대관령,3.23
2012,2,대구,2.31
2012,2,대전,1.63
2012,2,동두천,3.23
2012,2,동해,1.8
2012,2,목포,2.04
2012,2,문경,2.43
2012,2,밀양,2.89
2012,2,백령도,2.0
2012,2,보령,1.76
2012,2,보성군,4.08
2012,2,보은,2.38
2012,2,봉화,2.71
2012,2,부산,3.82
2012,2,부안,1.64
2012,2,부여,2.2
2012,2,북강릉,2.24
2012,2,북창원,3.63
2012,2,산청,3.09
2012,2,상주,2.21
2012,2,서귀포,8.85
2012,2,서산,2.41
2012,2,서울,2.83
2012,2,성산,7.1
2012,2,속초,2.81
2012,2,수원,2.67
2012,2,순창군,2.2
2012,2,순천,3.2
2012,2,안동,1.94
2012,2,양산시,3.15
2012,2,양평,3.18
2012,2,여수,3.4
2012,2,영광군,1.88
2012,2,영덕,2.54
2012,2,영월,3.18
2012,2,영주,2.77
2012,2,영천,2.38
2012,2,완도,4.65
2012,2,울릉도,3.49
2012,2,울산,2.91
2012,2,울진,2.25
2012,2,원주,2.45
2012,2,의령군,2.55
2012,2,의성,2.26
2012,2,이천,3.07
2012,2,인제,2.37
2012,2,인천,2.3
2012,2,임실,2.15
2012,2,장수,2.57
2012,2,장흥,3.6
2012,2,전주,1.77
2012,2,정선군,1.14
2012,2,정읍,1.8
2012,2,제주,4.05
2012,2,제천,3.13
2012,2,진주,3.0
2012,2,창원,3.69
2012,2,천안,1.91
2012,2,철원,3.07
2012,2,청송군,1.89
2012,2,청주,2.55
2012,2,추풍령,2.15
2012,2,춘천,3.38
2012,2,충주,2.25
2012,2,태백,2.75
2012,2,통영,4.11
2012,2,파주,2.52
2012,2,포항,2.56
2012,2,함양군,2.3
2012,2,합천,3.08
2012,2,해남,2.98
2012,2,해남군,2.41
2012,2,홍천,2.66
2012,2,흑산도,2.64
2012,3,강릉,9.21
2012,3,강진군,11.19
2012,3,강화,9.77
2012,3,거제,11.96
2012,3,거창,11.54
2012,3,경주시,8.41
2012,3,고산,14.84
2012,3,고산(제주),7.32
2012,3,고창,10.35
2012,3,고창군,11.26
2012,3,고흥,11.2
2012,3,광양시,13.76
2012,3,광주,11.7
2012,3,구미,9.43
2012,3,군산,13.19
2012,3,금산,10.39
2012,3,김해시,8.34
2012,3,남원,11.09
2012,3,남해,14.53
2012,3,대관령,8.22
2012,3,대구,8.38
2012,3,대전,10.69
2012,3,동두천,9.2
2012,3,동해,7.94
2012,3,목포,11.11
2012,3,문경,9.86
2012,3,밀양,9.21
2012,3,백령도,5.26
2012,3,보령,9.66
2012,3,보성군,11.16
2012,3,보은,10.89
2012,3,봉화,8.52
2012,3,부산,11.17
2012,3,부안,11.85
2012,3,부여,11.55
2012,3,북강릉,8.7
2012,3,북창원,12.99
2012,3,산청,14.43
2012,3,상주,9.77
2012,3,서귀포,14.31
2012,3,서산,12.13
2012,3,서울,12.24
2012,3,성산,11.82
2012,3,속초,7.5
2012,3,수원,13.47
2012,3,순창군,12.03
2012,3,순천,14.08
2012,3,안동,7.52
