Year,지역,지역별 연간 평균 강수량 (mm)
2012,강릉,3.61
2012,강진군,4.65
2012,강화,3.71
2012,거제,5.57
2012,거창,4.2
2012,경주시,3.48
2012,고산,6.01
2012,고산(제주),3.87
2012,고창,3.84
2012,고창군,4.19
2012,고흥,4.9
2012,광양시,5.17
2012,광주,4.44
2012,구미,3.58
2012,군산,4.53
2012,금산,3.92
2012,김해시,3.91
2012,남원,4.15
2012,남해,6.03
2012,대관령,3.52
2012,대구,3.25
2012,대전,3.85
2012,동두천,3.78
2012,동해,3.07
2012,목포,4.31
2012,문경,3.81
2012,밀양,3.74
2012,백령도,2.44
2012,보령,3.6
2012,보성군,4.86
2012,보은,4.16
2012,봉화,3.33
2012,부산,5.42
2012,부안,4.11
2012,부여,4.22
2012,북강릉,3.5
2012,북창원,5.0
2012,산청,5.23
2012,상주,3.61
2012,서귀포,7.38
2012,서산,4.49
2012,서울,4.5
2012,성산,6.72
2012,속초,3.33
2012,수원,4.78
2012,순창군,4.39
2012,순천,5.37
2012,안동,2.86
2012,양산시,4.43
2012,양평,4.19
2012,여수,4.99
2012,영광군,4.59
2012,영덕,3.06
2012,영월,3.82
2012,영주,3.91
2012,영천,3.6
2012,완도,4.67
2012,울릉도,4.86
2012,울산,3.98
2012,울진,3.01
2012,원주,3.77
2012,의령군,3.83
2012,의성,2.75
2012,이천,4.26
2012,인제,2.8
2012,인천,3.87
2012,임실,4.11
2012,장수,5.22
2012,장흥,4.85
2012,전주,3.72
2012,정선군,2.64
2012,정읍,4.03
2012,제주,6.14
2012,제천,3.77
2012,진주,4.79
2012,창원,4.26
2012,천안,3.65
2012,철원,3.6
2012,청송군,2.67
2012,청주,3.79
2012,추풍령,4.0
2012,춘천,3.62
2012,충주,3.53
2012,태백,4.16
2012,통영,4.4
2012,파주,3.92
2012,포항,3.64
2012,함양군,4.31
2012,합천,4.91
2012,해남,4.63
2012,해남군,2.19
2012,홍천,3.49
2012,흑산도,4.5
2013,강릉,2.53
2013,강진군,3.3
2013,강화,3.49
2013,거제,3.44
2013,거창,2.97
2013,경주시,2.25
2013,고산,3.44
2013,고산(제주),1.91
2013,고창,3.36
2013,고창군,2.96
2013,고흥,3.24
2013,광양시,3.74
2013,광주,3.41
2013,구미,2.45
2013,군산,2.99
2013,금산,2.73
2013,김해시,2.9
2013,남원,3.83
2013,남해,4.36
2013,대관령,2.88
2013,대구,2.73
2013,대전,3.07
2013,동두천,4.03
2013,동해,2.64
2013,목포,2.99
2013,문경,3.49
2013,밀양,2.84
2013,백령도,2.37
2013,보령,3.8
2013,보성군,3.6
2013,보은,3.08
2013,봉화,2.92
2013,부산,3.1
2013,부안,3.17
2013,부여,3.39
2013,북강릉,2.45
2013,북창원,3.05
2013,산청,3.43
2013,상주,2.59
2013,서귀포,2.98
2013,서산,2.79
2013,서울,3.85
2013,성산,3.74
2013,속초,3.06
2013,수원,3.4
2013,순창군,3.57
2013,순천,3.51
2013,안동,2.68
2013,양산시,2.99
2013,양평,4.61
2013,여수,3.29
2013,영광군,3.3
2013,영덕,2.37
2013,영월,3.39
2013,영주,3.24
2013,영천,2.66
2013,완도,3.43
2013,울릉도,3.47
2013,울산,2.35
2013,울진,2.72
2013,원주,4.11
2013,의령군,2.71
2013,의성,2.33
2013,이천,3.74
2013,인제,3.65
2013,인천,3.25
2013,임실,3.84
2013,장수,4.31
2013,장흥,3.17
2013,전주,3.46
2013,정선군,3.43
2013,정읍,2.91
2013,제주,2.35
2013,제천,3.94
2013,진주,3.34
2013,창원,3.04
2013,천안,3.0
2013,철원,4.82
2013,청송군,2.38
2013,청주,3.4
2013,추풍령,2.52
2013,춘천,4.76
2013,충주,3.02
2013,태백,2.53
2013,통영,3.18
2013,파주,3.69
2013,포항,2.48
2013,함양군,3.0
2013,합천,3.5
2013,해남,2.95
2013,홍천,3.57
2013,흑산도,3.0
2014,강릉,3.8
2014,강진군,4.15
2014,강화,1.66
2014,거제,6.18
2014,거창,3.4
2014,경주시,3.49
2014,고산,4.21
2014,고산(제주),3.48
2014,고창,3.54
2014,고창군,3.65
2014,고흥,5.07
