연도,지역,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2012,강릉,16.9,9.0,12.7,2.4,3.6,0.0,58.9,7.9
2012,강진군,18.0,8.7,13.1,2.9,4.7,0.1,69.3,9.3
2012,강화,15.3,5.8,10.1,2.0,3.7,0.0,68.8,9.5
2012,거제,18.2,10.1,13.9,2.0,5.6,0.0,63.2,8.0
2012,거창,17.6,6.0,11.4,1.8,4.2,0.1,68.9,11.6
2012,경주시,18.3,7.3,12.4,2.6,3.5,0.1,64.4,10.9
2012,고산,15.9,8.2,11.2,5.1,6.0,0.2,76.7,7.7
2012,고산(제주),18.5,13.1,15.6,6.5,3.9,0.0,70.3,5.3
2012,고창,18.1,8.5,13.0,2.8,3.8,0.3,79.0,9.6
2012,고창군,18.4,8.6,13.2,1.9,4.2,0.3,68.7,9.9
2012,고흥,18.1,8.9,12.9,2.0,4.9,0.0,68.4,9.2
2012,광양시,19.5,10.9,14.7,2.2,5.2,0.0,65.5,8.6
2012,광주,18.9,9.6,13.7,2.2,4.4,0.2,67.1,9.3
2012,구미,18.2,7.7,12.6,1.8,3.6,0.0,64.0,10.5
2012,군산,16.8,8.4,12.3,2.4,4.5,0.2,75.6,8.5
2012,금산,17.7,5.6,11.2,1.2,3.9,0.0,67.3,12.1
2012,김해시,19.5,10.6,14.6,2.3,3.9,0.0,58.0,8.9
2012,남원,18.3,6.4,12.0,1.6,4.1,0.0,69.9,11.9
2012,남해,18.6,10.0,14.0,1.5,6.0,0.0,63.7,8.6
2012,대관령,11.6,1.5,6.5,3.4,3.5,0.5,73.5,10.1
2012,대구,19.2,9.8,14.1,2.2,3.3,0.1,56.4,9.4
2012,대전,17.7,8.1,12.6,1.8,3.9,0.2,67.8,9.5
2012,동두천,17.4,6.1,11.1,1.7,3.8,0.0,64.0,11.3
2012,동해,16.3,8.6,12.3,2.6,3.1,0.0,63.3,7.7
2012,목포,17.1,9.8,13.1,3.2,4.3,0.2,76.2,7.3
2012,문경,17.3,6.5,11.6,1.9,3.8,0.0,59.6,10.8
2012,밀양,19.7,7.9,13.4,1.6,3.7,0.0,62.2,11.8
2012,백령도,13.6,8.1,10.5,4.6,2.4,0.2,70.2,5.5
2012,보령,16.7,8.2,12.2,2.0,3.6,0.2,70.4,8.5
2012,보성군,18.4,9.1,13.6,3.1,4.9,0.1,70.7,9.3
2012,보은,16.8,5.3,10.7,1.5,4.2,0.0,66.5,11.5
2012,봉화,15.2,3.1,8.6,1.4,3.3,0.0,70.4,12.1
2012,부산,18.6,11.4,14.6,3.2,5.4,0.0,58.3,7.2
2012,부안,17.5,8.2,12.5,1.9,4.1,0.0,71.6,9.3
2012,부여,17.6,6.8,11.8,1.4,4.2,0.0,67.5,10.8
2012,북강릉,16.2,7.7,11.8,2.1,3.5,0.2,60.5,8.5
2012,북창원,18.7,9.6,13.7,1.7,5.0,0.0,50.1,9.0
2012,산청,18.5,8.1,12.9,1.9,5.2,0.0,63.6,10.4
2012,상주,17.1,7.1,11.7,1.7,3.6,0.0,63.7,10.0
2012,서귀포,20.0,13.8,16.7,2.6,7.4,0.0,70.2,6.2
2012,서산,16.6,7.0,11.5,2.5,4.5,0.1,75.6,9.6
