월,월평균기온,월평균일교차,월평균최고기온,월평균최저기온,월평균상대습도,구분,분기,분기평균기온,분기평균일교차,분기평균최고기온,분기평균최저기온,분기평균상대습도,지점번호
1.0,2.32,8.41,6.45,-1.97,43.26,월별,,,,,,,강릉
2.0,1.34,7.12,5.29,-1.83,70.56,월별,,,,,,,강릉
3.0,8.28,9.12,12.68,3.56,49.65,월별,,,,,,,강릉
4.0,14.15,9.21,18.74,9.53,52.19,월별,,,,,,,강릉
5.0,20.03,9.91,24.84,14.93,45.45,월별,,,,,,,강릉
6.0,20.88,6.43,24.34,17.91,74.07,월별,,,,,,,강릉
7.0,26.15,7.61,30.13,22.52,63.42,월별,,,,,,,강릉
8.0,23.68,5.73,26.67,20.94,76.7,월별,,,,,,,강릉
9.0,20.9,7.68,25.11,17.43,70.46,월별,,,,,,,강릉
10.0,15.95,8.84,20.6,11.76,57.87,월별,,,,,,,강릉
11.0,10.45,7.69,14.49,6.8,52.24,월별,,,,,,,강릉
12.0,1.12,8.82,5.64,-3.18,33.04,월별,,,,,,,강릉
,,,,,,분기별,2014Q1,4.07,8.25,8.23,-0.02,53.96,강릉
,,,,,,분기별,2014Q2,18.37,8.53,22.66,14.13,57.1,강릉
,,,,,,분기별,2014Q3,23.6,7.0,27.32,20.33,70.19,강릉
,,,,,,분기별,2014Q4,9.16,8.46,13.57,5.11,47.67,강릉
1.0,1.61,12.03,8.01,-4.02,61.29,월별,,,,,,,강진군
2.0,3.8,10.31,9.29,-1.02,62.7,월별,,,,,,,강진군
3.0,7.63,11.73,13.62,1.89,67.71,월별,,,,,,,강진군
4.0,13.38,12.43,20.04,7.61,60.74,월별,,,,,,,강진군
5.0,17.66,12.8,24.12,11.32,65.16,월별,,,,,,,강진군
6.0,21.78,8.04,26.38,18.34,75.65,월별,,,,,,,강진군
7.0,24.38,6.71,28.24,21.53,83.11,월별,,,,,,,강진군
8.0,24.04,6.25,27.58,21.34,85.94,월별,,,,,,,강진군
9.0,21.26,10.17,26.89,16.72,78.72,월별,,,,,,,강진군
10.0,15.71,12.98,22.65,9.67,74.65,월별,,,,,,,강진군
11.0,10.04,10.97,15.92,4.94,72.35,월별,,,,,,,강진군
12.0,1.78,8.78,6.55,-2.23,71.75,월별,,,,,,,강진군
,,,,,,분기별,2014Q1,4.36,11.39,10.34,-1.05,63.94,강진군
,,,,,,분기별,2014Q2,17.61,11.11,23.52,12.41,67.16,강진군
,,,,,,분기별,2014Q3,23.25,7.68,27.58,19.89,82.63,강진군
,,,,,,분기별,2014Q4,9.17,10.91,15.03,4.12,72.92,강진군
1.0,-1.84,10.19,3.06,-7.13,63.52,월별,,,,,,,강화
2.0,0.16,9.42,5.21,-4.22,64.18,월별,,,,,,,강화
3.0,6.36,11.04,11.73,0.69,65.64,월별,,,,,,,강화
4.0,11.69,10.97,17.47,6.5,68.32,월별,,,,,,,강화
5.0,16.19,11.09,22.21,11.13,72.33,월별,,,,,,,강화
6.0,21.39,8.18,25.86,17.68,84.54,월별,,,,,,,강화
7.0,24.37,8.34,29.06,20.72,84.09,월별,,,,,,,강화
8.0,23.85,7.77,28.07,20.3,83.39,월별,,,,,,,강화
9.0,20.36,10.57,25.92,15.36,75.98,월별,,,,,,,강화
10.0,14.18,11.84,20.36,8.52,70.22,월별,,,,,,,강화
11.0,7.55,10.56,12.82,2.26,69.47,월별,,,,,,,강화
12.0,-3.53,9.57,1.27,-8.3,63.83,월별,,,,,,,강화
,,,,,,분기별,2014Q1,1.61,10.24,6.71,-3.53,64.45,강화
,,,,,,분기별,2014Q2,16.42,10.09,21.85,11.76,75.03,강화
,,,,,,분기별,2014Q3,22.89,8.88,27.7,18.83,81.21,강화
,,,,,,분기별,2014Q4,6.05,10.66,11.47,0.81,67.82,강화
1.0,4.09,9.34,9.13,-0.21,48.24,월별,,,,,,,거제
2.0,5.56,8.16,10.0,1.84,59.2,월별,,,,,,,거제
3.0,9.73,9.57,14.77,5.2,60.05,월별,,,,,,,거제
4.0,14.32,10.81,20.3,9.49,54.62,월별,,,,,,,거제
5.0,19.13,10.8,24.7,13.9,55.89,월별,,,,,,,거제
6.0,21.61,7.84,26.09,18.24,69.52,월별,,,,,,,거제
7.0,25.06,6.94,29.17,22.24,74.73,월별,,,,,,,거제
