월,월평균기온,월평균일교차,월평균최고기온,월평균최저기온,월평균상대습도,구분,분기,분기평균기온,분기평균일교차,분기평균최고기온,분기평균최저기온,분기평균상대습도
1.0,2.78,8.64,7.67,-0.96,68.31,월별,,,,,,
2.0,3.51,10.26,9.13,-1.12,66.87,월별,,,,,,
3.0,7.87,12.12,14.04,1.92,60.69,월별,,,,,,
4.0,10.53,12.52,17.09,4.57,55.86,월별,,,,,,
5.0,17.54,10.39,23.06,12.68,72.78,월별,,,,,,
6.0,22.51,9.64,27.84,18.2,75.58,월별,,,,,,
7.0,22.3,6.56,26.18,19.62,86.06,월별,,,,,,
8.0,26.4,6.97,30.51,23.54,85.07,월별,,,,,,
9.0,20.18,8.47,24.99,16.52,80.21,월별,,,,,,
10.0,13.98,11.38,20.19,8.81,68.96,월별,,,,,,
11.0,8.77,10.49,14.41,3.92,65.54,월별,,,,,,
12.0,0.63,10.15,6.36,-3.78,60.41,월별,,,,,,
,,,,,,분기별,2020Q1,4.75,10.34,10.31,-0.03,65.25
,,,,,,분기별,2020Q2,16.87,10.84,22.67,11.82,68.12
,,,,,,분기별,2020Q3,22.99,7.32,27.25,19.93,83.82
,,,,,,분기별,2020Q4,7.78,10.67,13.64,2.97,64.97
