관측시각 (KST),국내 지점번호,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
20170101,속초,9.8,1.5,6,1.7,-9,-9,50,8.3
20170101,북춘천,5.8,-5.5,-0.4,0.4,-9,-9,87.1,11.3
20170101,철원,6.1,-6.2,-0.2,0.6,-9,-9,83.8,12.3
20170101,동두천,7.7,-4.3,1.8,0.6,-9,-9,76.3,12
20170101,파주,6.6,-6.9,0,0.3,-9,-9,83.1,13.5
20170101,대관령,1.8,-4.6,-1.3,5.1,-9,-9,74.3,6.4
20170101,춘천,3.2,-4.6,-0.4,0.5,-9,-9,93.3,7.8
20170101,백령도,7.7,3.4,5.6,2.7,-9,-9,80.8,4.3
20170101,북강릉,9.5,0.8,5.8,2,-9,-9,50.3,8.7
20170101,강릉,9.2,4,6.6,4.4,-9,-9,39.4,5.2
20170101,동해,12.1,1.4,7.1,1.6,-9,-9,48.5,10.7
20170101,서울,6.9,-1.6,2.7,1.5,-9,-9,75.9,8.5
20170101,인천,8.5,1.3,5.1,2.2,-9,-9,78.6,7.2
20170101,원주,5.7,-1.6,1.6,0.2,-9,-9,77.9,7.3
20170101,울릉도,11,4.2,7,3.5,-9,-9,49.5,6.8
20170101,수원,8.2,-2.8,2.9,0.7,-9,-9,85.8,11
20170101,영월,7.2,-2.8,1.2,0.4,-9,-9,84.4,10
20170101,충주,7.9,-3.3,1.2,0.6,-9,-9,83.8,11.2
20170101,서산,9.7,-1.5,3.5,0.9,-9,-9,95.5,11.2
20170101,울진,13.4,-0.6,6,2.7,-9,-9,50.4,14
20170101,청주,9.1,-1.1,3.4,0.7,-9,-9,74.1,10.2
20170101,대전,10.7,-1.3,3.5,0.7,-9,-9,81.5,12
20170101,추풍령,8.1,-3.5,1.5,1.5,-9,-9,77.5,11.6
20170101,안동,9,-4.1,1.2,1,-9,-9,77.6,13.1
20170101,상주,9.7,-2.6,2.6,1.1,-9,-9,75.5,12.3
20170101,포항,11.1,3.1,6.4,3,-9,-9,60.4,8
20170101,군산,11,-0.7,3.7,0.6,-9,-9,89.1,11.7
20170101,대구,10,-2,3.4,1,-9,-9,73.3,12
20170101,전주,10.7,0.8,4.8,1.4,-9,-9,75.1,9.9
20170101,울산,11.8,2.1,6.5,1.8,-9,-9,60.4,9.7
20170101,창원,10.7,-0.1,4.7,1.1,-9,-9,68.8,10.8
20170101,광주,11.2,-0.6,4.5,0.7,-9,-9,80.6,11.8
20170101,부산,12.6,2.2,6.5,2.6,-9,-9,58,10.4
20170101,통영,11.1,1,5.7,1.3,-9,-9,68.1,10.1
20170101,목포,11.4,1.7,6,1.4,-9,-9,86,9.7
20170101,여수,11,2.7,6.3,1.9,-9,-9,63.1,8.3
20170101,흑산도,11.8,5.4,8,2.1,0,-9,82.9,6.4
20170101,완도,11.7,2.2,6.7,1,-9,-9,83.6,9.5
20170101,고창,10.8,-1.3,3.7,0.6,-9,-9,89,12.1
20170101,순천,10.9,-3.7,1.9,1.3,-9,-9,76.8,14.6
20170101,고산,11,2.7,5.7,3,-9,-9,74.3,8.3
20170101,홍성,10.1,-1.4,3.7,0.9,-9,-9,88.3,11.5
20170101,제주,13,6,9.9,2,-9,-9,66.4,7
20170101,고산(제주),13.9,5.4,9.9,3.1,-9,-9,67.8,8.5
20170101,성산,14.6,5.2,9.4,1.9,-9,-9,68.5,9.4
20170101,서귀포,12.7,6.2,9.9,1,-9,-9,72.8,6.5
20170101,진주,11.3,-4.5,1.6,0.4,-9,-9,71.9,15.8
20170101,강화,7.3,-4.3,2,0.8,0,-9,83,11.6
20170101,양평,4.9,-4.8,0.1,0.5,-9,-9,87.6,9.7
20170101,이천,5.2,-5.6,0.4,0.5,-9,-9,80.3,10.8
20170101,인제,5.5,-2,1.2,1.3,-9,-9,73.5,7.5
20170101,홍천,5.5,-3.9,0.5,0.3,-9,-9,85,9.4
20170101,태백,5.9,-4.6,0.2,1.3,-9,-9,63.6,10.5
20170101,정선군,5.6,-5.4,-0.7,0.9,-9,-9,80.4,11
20170101,제천,6.1,-5.4,-0.9,0.5,-9,-9,86.3,11.5
20170101,보은,8.8,-3.3,0.3,0.4,-9,-9,88.8,12.1
20170101,천안,8.7,-2.1,2.3,0.6,-9,-9,83.1,10.8
20170101,보령,10.5,0.5,4.7,0.8,-9,-9,87.5,10
20170101,부여,9.8,-1.9,2,0.4,-9,-9,89.6,11.7
20170101,금산,9.7,-3.6,0.9,0.5,-9,-9,87.5,13.3
20170101,부안,11.5,-1.3,4.1,0.8,-9,-9,78.4,12.8
20170101,임실,9.9,-3.8,1.3,0.5,-9,-9,81.3,13.7
20170101,정읍,10.7,-0.9,4.2,0.5,-9,-9,76.8,11.6
20170101,남원,10.7,-3.2,2.2,1.1,-9,-9,76.6,13.9
20170101,장수,10.2,-4.7,0.5,0.6,-9,-9,83.9,14.9
20170101,고창군,12.1,-1,4.2,0.7,-9,-9,82.4,13.1
20170101,영광군,10.9,-2.4,3.6,0.8,-9,-9,81.6,13.3
20170101,김해시,11.5,0.4,5.2,1.9,-9,-9,66.1,11.1
20170101,순창군,9.1,-4.6,0.7,0.9,-9,-9,82.8,13.7
20170101,북창원,11.4,-1.2,4.2,0.8,-9,-9,69.6,12.6
20170101,양산시,12.2,-1.4,4.4,1.6,-9,-9,74,13.6
20170101,보성군,11.7,-2.1,3.5,1.1,-9,-9,81.5,13.8
20170101,강진군,12.2,-1.8,3.7,1.2,-9,-9,85.4,14
20170101,장흥,12,-2.9,3.1,0.5,-9,-9,83.9,14.9
20170101,해남,11.1,-2.6,3.2,0.7,-9,-9,80.4,13.7
20170101,고흥,10.8,-2.6,2.6,0.6,-9,-9,85.9,13.4
20170101,의령군,10.9,-4.4,1.5,0.6,-9,-9,85.4,15.3
20170101,함양군,12.6,-4.3,2.1,0.4,-9,-9,77.8,16.9
20170101,광양시,11.6,0.7,5.6,0.7,-9,-9,78.8,10.9
20170101,진도군,11.8,-0.8,4.3,0.8,-9,-9,84.8,12.6
20170101,봉화,6.5,-6.6,-0.6,1.7,-9,-9,75,13.1
20170101,영주,6.6,-4.7,1.1,3,-9,-9,72.5,11.3
20170101,문경,9,-2.7,2,1.3,-9,-9,72,11.7
20170101,청송군,8,-6.7,-0.3,0.9,-9,-9,79.6,14.7
20170101,영덕,9.9,1.6,5.8,3.5,-9,-9,52.6,8.3
20170101,의성,9.9,-6.1,0,0.6,-9,-9,79.1,16
20170101,구미,10,-3,1.9,0.5,-9,-9,89.4,13
20170101,영천,10,-2.6,2.6,1.5,-9,-9,75.4,12.6
20170101,경주시,10.8,-2.3,2.8,2,-9,-9,75.1,13.1
20170101,거창,10.4,-6.3,0.8,0.5,-9,-9,80,16.7
20170101,합천,10.9,-4.5,1.3,0.9,-9,-9,75.1,15.4
20170101,밀양,11.5,-3.5,2.5,0.5,-9,-9,79.6,15
20170101,산청,12.3,-2.4,3.1,0.8,-9,-9,70,14.7
20170101,거제,12.2,0,4.8,0.6,-9,-9,77.3,12.2
20170101,남해,10.6,-1,3.9,0.8,-9,-9,80.9,11.6
20170102,속초,10.5,4.7,8.2,2.5,-9,-9,50.3,5.8
20170102,북춘천,8.6,-2.3,2.2,0.6,0,-9,86.5,10.9
20170102,철원,7.2,-2.7,3.2,1.5,0,-9,82.3,9.9
20170102,동두천,9.7,0.2,4.5,1.3,0,-9,76.9,9.5
20170102,파주,8.7,-3.1,3,1.1,0,-9,85.5,11.8
20170102,대관령,3.4,-2.1,1.1,6.7,-9,-9,75.4,5.5
20170102,춘천,8.7,-0.9,2.8,1,0.2,-9,87.9,9.6
20170102,백령도,7.5,3.4,5.2,4.6,-9,-9,76,4.1
20170102,북강릉,12,3.1,7.7,2,-9,-9,53,8.9
20170102,강릉,11.8,6.2,8.6,4.1,-9,-9,44.6,5.6
20170102,동해,14.2,6.1,10,2.8,-9,-9,46.9,8.1
20170102,서울,9.2,1.8,5,2.1,0.3,-9,77.8,7.4
20170102,인천,8.7,2.4,5.7,3.3,0.2,-9,82.9,6.3
20170102,원주,7.9,0.6,3.7,0.5,0,-9,78.1,7.3
20170102,울릉도,12.4,6.9,8.8,3,-9,-9,49,5.5
20170102,수원,10.3,2.7,5.2,1.6,0.6,-9,86.4,7.6
20170102,영월,8.2,-1.1,3.3,0.8,0.2,-9,84.5,9.3
20170102,충주,8.8,-0.6,3.6,0.8,0.1,-9,79.6,9.4
20170102,서산,10.9,0.4,5.3,1.6,0.4,-9,93.8,10.5
20170102,울진,13.8,1.3,7.7,2.9,-9,-9,52.9,12.5
20170102,청주,11.3,1.2,5.5,1.1,0,-9,71.1,10.1
20170102,대전,10.8,-0.4,4.7,1.5,-9,-9,83,11.2
20170102,추풍령,8.4,-2.6,3.9,2.6,-9,-9,76.9,11
20170102,안동,10.5,-4.4,3.3,1.2,-9,-9,74.6,14.9
20170102,상주,10.3,-1.1,5.4,1.8,-9,-9,71,11.4
